Brand Name,Product Name,Colors,Sizes,Product Description,UPC,Custom Field,Product Images,SalePrice,ActualPrice
DKNY,Gregorio Top Zip Demi,Pebble,One Size,"Upgrade your bag collection by choosing the DKNY® Gregorio Top Zip Demi and exude confidence wherever you venture! Crafted for fashion enthusiasts, this crossbody bag offers a removable and adjustable crossbody strap for utmost convenience. Whether you prefer the trendy crossbody look or the classic top grab handle, this bag has got you covered! And with its secure zippered closure, your belongings will be safe from the hustle and bustle of daily life.
SKU: #9945788
PU construction.
Zippered pockets in the interior and exterior.
Brand hardware in the back.
Logo lining.
Imported.
Measurements:
Bottom Width: 4 in
Height: 12 in",755405602013,6pm SKU:#9945788,"https://m.media-amazon.com/images/I/71bVdkT9X4L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61sTgK4ApJL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81bExqvAjbL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71oqi7LuvKL._AC_SR736,920_.jpg",66.60,66.60
Tommy Hilfiger,Gia II Gifting Hang Tag-Envelope Flap Crossbody w/ Hangoff-High Shine Saffiano PVC,Black,One Size,"The Tommy Hilfiger® Gia II Gifting Hang Tag-Envelope Flap Crossbody w/ Hangoff-High Shine Saffiano PVC Handbag combines both functionality and style at best. This bag is craftef from high shine Saffiano leather which offers a sturdy fit. The nylon lining adds to the comfy look.
SKU: #9943104
Adjustable shoulder strap for easy carrying.
Signature brand detailing on the front.
Foldover flap with magnetic snap closure.
Imported.
Measurements:
Bottom Width: 5 7⁄10 in
Height: 14 in
Weight: 10.58 oz",196805914939,6pm SKU:#9943104,"https://m.media-amazon.com/images/I/71tvFb0OIPL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51HHC8TnabL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/91RV10sRTLL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/915HqbOyRfL._AC_SR736,920_.jpg",68.04,68.04
Tommy Hilfiger,Gia II Gifting Hang Tag Top Zip Phone Crossbody w/ Card Case-High Shine Saffiano PVC,Black,One Size,"Accessorize your dreams with the Tommy Hilfiger® Gia II Gifting Hang Tag Top Zip Phone Crossbody w/ Card Case-High Shine Saffiano PVC. This bag features zippered closure, detachable and adjustable crossbody strap, and brand logo on the front.
SKU: #9943108
One detachable wallet included.
Nylon lining.
Imported.
Measurements:
Bottom Width: 3 1⁄2 in
Height: 18 1⁄2 in",196805913673,6pm SKU:#9943108,"https://m.media-amazon.com/images/I/81qsuXYx9mL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51RGs5+HzdL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81EW9uMJgJL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81Tblaxt0BL._AC_SR736,920_.jpg",55.44,55.44
Tommy Hilfiger,Gia II Gifting Hang Tag Envelope Flap Crossbody w/ Hangoff-TH Serif Critter PVC,Tommy Navy/Deep Rouge,One Size,"Get ready in the chic and minimalist design of the trendy Tommy Hilfiger® Gia II Gifting Hang Tag Envelope Flap Crossbody w/ Hangoff-TH Serif Critter PVC bag with a high shine saffiano construction.
SKU: #9943111
Magnetic snap closure.
Adjustable crossbody strap.
Hang tag envelope flap design.
Brand logo on the front.
Nylon lining.
Imported.",196805915714,6pm SKU:#9943111,"https://m.media-amazon.com/images/I/71X+pALYOsL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61oynxbM3lL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/91E6PA-hhBL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/91w8NhBWnvL._AC_SR736,920_.jpg",68.44,68.44
Tommy Hilfiger,Gia II Gifting Hang Tag-Envelope Flap Crossbody w/ Hangoff-High Shine Saffiano PVC,Cognac,One Size,"The Tommy Hilfiger® Gia II Gifting Hang Tag-Envelope Flap Crossbody w/ Hangoff-High Shine Saffiano PVC Handbag combines both functionality and style at best. This bag is craftef from high shine Saffiano leather which offers a sturdy fit. The nylon lining adds to the comfy look.
SKU: #9943104
Adjustable shoulder strap for easy carrying.
Signature brand detailing on the front.
Foldover flap with magnetic snap closure.
Imported.
Measurements:
Bottom Width: 5 7⁄10 in
Height: 14 in
Weight: 10.58 oz",196805914939,6pm SKU:#9943104,"https://m.media-amazon.com/images/I/71o8Z1rowwL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51UubMjlZ4L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81NtSZeeWnL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/91rm+SfG6NL._AC_SR736,920_.jpg",51.84,51.84
Tommy Hilfiger,Gia II Gifting Hang Tag Envelope Flap Crossbody w/ Hangoff-TH Serif Critter PVC,Virginia Red/Arizona Red,One Size,"Get ready in the chic and minimalist design of the trendy Tommy Hilfiger® Gia II Gifting Hang Tag Envelope Flap Crossbody w/ Hangoff-TH Serif Critter PVC bag with a high shine saffiano construction.
SKU: #9943111
Magnetic snap closure.
Adjustable crossbody strap.
Hang tag envelope flap design.
Brand logo on the front.
Nylon lining.
Imported.",196805915714,6pm SKU:#9943111,"https://m.media-amazon.com/images/I/71so8JyhblL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61BzxEWGrqL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/91veOymQUAL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/91uH1LNjPAL._AC_SR736,920_.jpg",74.34,74.34
Tommy Hilfiger,Gia II Gifting Hang Tag-Envelope Flap Crossbody w/ Hangoff-High Shine Saffiano PVC,Light Gold,One Size,"The Tommy Hilfiger® Gia II Gifting Hang Tag-Envelope Flap Crossbody w/ Hangoff-High Shine Saffiano PVC Handbag combines both functionality and style at best. This bag is craftef from high shine Saffiano leather which offers a sturdy fit. The nylon lining adds to the comfy look.
SKU: #9943104
Adjustable shoulder strap for easy carrying.
Signature brand detailing on the front.
Foldover flap with magnetic snap closure.
Imported.
Measurements:
Bottom Width: 5 7⁄10 in
Height: 14 in
Weight: 10.58 oz",196805914939,6pm SKU:#9943104,"https://m.media-amazon.com/images/I/71gJstVIaLL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61CDYlwaaAL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81NQVSNZzUL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/91Y6gFzxcAL._AC_SR736,920_.jpg",51.84,51.84
DKNY,Bryant Medium Tote,Black Logo/Black,One Size,"Get ready to shine carrying the DKNY® Bryant Medium Tote. Crafted from pvc with cow leather trim, this bag features zippered closure, dual carry handles and allover unique print.
SKU: #9945771
Polyester lining.
Imported.
Measurements:
Bottom Width: 4 1⁄4 in
Height: 9 1⁄2 in",755405880046,6pm SKU:#9945771,"https://m.media-amazon.com/images/I/81bgLEmtAQL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81MEMrf-UjL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71gd7f5KeCL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/917wTZche9L._AC_SR736,920_.jpg",108.90,108.90
DKNY,Bryant Bucket Bag,Bright Red,One Size,"Set a luxe fashion statement by grabbing the DKNY® Bryant Bucket Bag. Featuring a PVC construction, it has a top handle with an adjustable crossbody strap and two spacious compartments.
SKU: #9945791
Interior slip pocket.
Interior zippered pocket.
Branding hardware on the front.
Polyester lining.
Imported.
Measurements:
Bottom Width: 4 in
Height: 11 9⁄11 in",794278462775,6pm SKU:#9945791,"https://m.media-amazon.com/images/I/71DrmIBzknL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/618sz8H3ZRL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81IdgBj6+BL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81JWgZAfnJL._AC_SR736,920_.jpg",75.60,75.60
DKNY,Crawford Small Tote,Ivory Cashew Black,One Size,"Carry this DKNY® Crawford Small Tote bag for shopping or commuting to work in an updated style. It has double top handles and a crossbody strap for convenience for carrying in different ways. The bag has a neutral color-blocked design, a zip closure compartment, and a smooth outer.
SKU: #9945768
Pockets:
One interior slip pocket;
One exterior slip pocket.
Polyurethane construction with polyvinyl trim.
Polyester lining.
Imported.
Measurements:
Bottom Width: 9 1⁄2 in
Height: 4 1⁄4 in",755406868470,6pm SKU:#9945768,"https://m.media-amazon.com/images/I/71CjGXS7-PL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/7118aGp0lkL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71NMLdBcBHL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/81fWBeOq-BL._AC_SR736,920_.jpg",62.30,62.30
